time,CPIAUCSL
01-01-13,231.679
02-01-13,232.937
03-01-13,232.282
04-01-13,231.797
05-01-13,231.893
06-01-13,232.445
07-01-13,232.9
08-01-13,233.456
09-01-13,233.544
10-01-13,233.669
11-01-13,234.1
12-01-13,234.719
01-01-14,235.288
02-01-14,235.547
03-01-14,236.028
04-01-14,236.468
05-01-14,236.918
06-01-14,237.231
07-01-14,237.498
08-01-14,237.46
09-01-14,237.477
10-01-14,237.43
11-01-14,236.983
12-01-14,236.252
01-01-15,234.747
02-01-15,235.342
03-01-15,235.976
04-01-15,236.222
05-01-15,237.001
06-01-15,237.657
07-01-15,238.034
08-01-15,238.033
09-01-15,237.498
10-01-15,237.733
11-01-15,238.017
12-01-15,237.761
01-01-16,237.652
02-01-16,237.336
03-01-16,238.08
04-01-16,238.992
05-01-16,239.557
06-01-16,240.222
07-01-16,240.101
08-01-16,240.545
09-01-16,241.176
10-01-16,241.741
11-01-16,242.026
12-01-16,242.637
01-01-17,243.618
02-01-17,244.006
03-01-17,243.892
04-01-17,244.193
05-01-17,244.004
06-01-17,244.163
07-01-17,244.243
08-01-17,245.183
09-01-17,246.435
10-01-17,246.626
11-01-17,247.284
12-01-17,247.805
01-01-18,248.859
02-01-18,249.529
03-01-18,249.577
04-01-18,250.227
05-01-18,250.792
06-01-18,251.018
07-01-18,251.214
08-01-18,251.663
09-01-18,252.182
10-01-18,252.772
11-01-18,252.594
12-01-18,252.767
01-01-19,252.561
02-01-19,253.319
03-01-19,254.277
04-01-19,255.233
05-01-19,255.296
06-01-19,255.213
07-01-19,255.802
08-01-19,256.036
09-01-19,256.43
10-01-19,257.155
11-01-19,257.879
12-01-19,258.63
01-01-20,259.127
02-01-20,259.25
03-01-20,258.076
04-01-20,256.032
05-01-20,255.802
06-01-20,257.042
07-01-20,258.352
08-01-20,259.316
09-01-20,259.997
10-01-20,260.319
11-01-20,260.911
12-01-20,262.045
01-01-21,262.639
02-01-21,263.573
03-01-21,264.847
04-01-21,266.625
05-01-21,268.404
06-01-21,270.71
07-01-21,271.965
08-01-21,272.752
09-01-21,273.942
10-01-21,276.528
11-01-21,278.824
12-01-21,280.806
01-01-22,282.542
02-01-22,284.525
03-01-22,287.467
04-01-22,288.582
05-01-22,291.299
06-01-22,295.072
07-01-22,294.94
08-01-22,295.162
09-01-22,296.421
10-01-22,297.979
11-01-22,298.708
12-01-22,298.808
01-01-23,300.456
02-01-23,301.476
03-01-23,301.643
04-01-23,302.858
05-01-23,303.316
06-01-23,304.099
07-01-23,304.615
08-01-23,306.138
09-01-23,307.374
10-01-23,307.653
11-01-23,308.087
12-01-23,308.735
01-01-24,309.794
02-01-24,311.022
03-01-24,312.107
04-01-24,313.016
05-01-24,313.14
06-01-24,313.131
07-01-24,313.566
08-01-24,314.131
09-01-24,314.851
10-01-24,315.564
11-01-24,316.449
12-01-24,317.603
01-01-25,319.086
02-01-25,319.775
03-01-25,319.615
04-01-25,320.321
05-01-25,320.58
06-01-25,321.5
07-01-25,322.132
08-01-25,323.364