time,UNRATE
01-01-13,8
02-01-13,7.7
03-01-13,7.5
04-01-13,7.6
05-01-13,7.5
06-01-13,7.5
07-01-13,7.3
08-01-13,7.2
09-01-13,7.2
10-01-13,7.2
11-01-13,6.9
12-01-13,6.7
01-01-14,6.6
02-01-14,6.7
03-01-14,6.7
04-01-14,6.2
05-01-14,6.3
06-01-14,6.1
07-01-14,6.2
08-01-14,6.1
09-01-14,5.9
10-01-14,5.7
11-01-14,5.8
12-01-14,5.6
01-01-15,5.7
02-01-15,5.5
03-01-15,5.4
04-01-15,5.4
05-01-15,5.6
06-01-15,5.3
07-01-15,5.2
08-01-15,5.1
09-01-15,5
10-01-15,5
11-01-15,5.1
12-01-15,5
01-01-16,4.8
02-01-16,4.9
03-01-16,5
04-01-16,5.1
05-01-16,4.8
06-01-16,4.9
07-01-16,4.8
08-01-16,4.9
09-01-16,5
10-01-16,4.9
11-01-16,4.7
12-01-16,4.7
01-01-17,4.7
02-01-17,4.6
03-01-17,4.4
04-01-17,4.4
05-01-17,4.4
06-01-17,4.3
07-01-17,4.3
08-01-17,4.4
09-01-17,4.3
10-01-17,4.2
11-01-17,4.2
12-01-17,4.1
01-01-18,4
02-01-18,4.1
03-01-18,4
04-01-18,4
05-01-18,3.8
06-01-18,4
07-01-18,3.8
08-01-18,3.8
09-01-18,3.7
10-01-18,3.8
11-01-18,3.8
12-01-18,3.9
01-01-19,4
02-01-19,3.8
03-01-19,3.8
04-01-19,3.7
05-01-19,3.6
06-01-19,3.6
07-01-19,3.7
08-01-19,3.6
09-01-19,3.5
10-01-19,3.6
11-01-19,3.6
12-01-19,3.6
01-01-20,3.6
02-01-20,3.5
03-01-20,4.4
04-01-20,14.8
05-01-20,13.2
06-01-20,11
07-01-20,10.2
08-01-20,8.4
09-01-20,7.8
10-01-20,6.9
11-01-20,6.7
12-01-20,6.7
01-01-21,6.4
02-01-21,6.2
03-01-21,6.1
04-01-21,6.1
05-01-21,5.8
06-01-21,5.9
07-01-21,5.4
08-01-21,5.1
09-01-21,4.7
10-01-21,4.5
11-01-21,4.2
12-01-21,3.9
01-01-22,4
02-01-22,3.8
03-01-22,3.7
04-01-22,3.7
05-01-22,3.6
06-01-22,3.6
07-01-22,3.5
08-01-22,3.6
09-01-22,3.5
10-01-22,3.6
11-01-22,3.6
12-01-22,3.5
01-01-23,3.5
02-01-23,3.6
03-01-23,3.5
04-01-23,3.4
05-01-23,3.6
06-01-23,3.6
07-01-23,3.5
08-01-23,3.7
09-01-23,3.8
10-01-23,3.9
11-01-23,3.7
12-01-23,3.8
01-01-24,3.7
02-01-24,3.9
03-01-24,3.9
04-01-24,3.9
05-01-24,4
06-01-24,4.1
07-01-24,4.2
08-01-24,4.2
09-01-24,4.1
10-01-24,4.1
11-01-24,4.2
12-01-24,4.1
01-01-25,4
02-01-25,4.1
03-01-25,4.2
04-01-25,4.2
05-01-25,4.2
06-01-25,4.1
07-01-25,4.2
08-01-25,4.3